#,Bodega,Vino,Tipo,País,Premios,Ptos
86,Thorn Clarke Wines,Thorn Clarke William Randell Shiraz 2010,Syrah/Shiraz,Australia,6,159.15
87,Ernest and Julio Gallo Family - Barefoot Wine,Barefoot Cellars Impression,Red,USA,6,159.03
88,Domaine Le Billoud,Cantine Mirta Bertolino Marsala,Dessert Wine,Argentina,5,158.88
89,Viña Siegel S.A.,Crucero Reserva Carmenere 2011,Carmenere,Chile,7,157.98
90,Bodegas Rodero SL,Carmelo Rodero Tsm Do Ribera Del Duero 2009,Red,Spain,5,156.25
91,Vinárstvo Mavín Martin Pomfy,Mavin Cabernet Sauvignon Rosé Pdo Juzno Slovenska Vo 2012,Rose,Slovakia,5,155.13
92,KWV International Pty. Ltd.,KWV Classic Collection Cape Tawny,Port Style,South Africa,4,155
93,Viña Siegel S.A.,Crucero Reserva Syrah 2011,Syrah/Shiraz,Chile,7,154.85
94,Bodegas Dominio De Cair S.L.,Cair Ribera Del Duero 2009,Tempranillo,Spain,4,154.38
95,Ernest and Julio Gallo Family - Barefoot Wine,Barefoot Cellars Moscato,Muscat Blanc,USA,8,154.18
96,Bodegas Muriel SL,Muriel Rioja Gran Reserva 2004,Tempranillo,Spain,7,154
97,Cooperativa Vinicola Garibaldi Ltda,Garibaldi Espumante Moscatel,Sparkling Wine,Brazil,8,153.96
98,Wyndham Estate Pernod Ricard Pacific,Wyndham Bin 222 Chardonnay 2012,Chardonnay,Australia,9,153.9
99,Enoport DT Prodçâo de Bebidas SA,Caves Velhas Bucellas Doc Arinto White 2012,Arinto,Portugal,6,153
100,Adega Cooperativa De Favaios CRL,Adega Cooperativa de Favaios Moscatel de Favaios Colheita 1980,Port Colheita,Portugal,5,152.75
